state,IF__anomaly_density,IF__anomaly_count
Andhra Pradesh,0.13453624564735672,3400.0
Arunachal Pradesh,0.1790123456790123,174.0
Assam,0.1652949245541838,2892.0
Bihar,0.17786922725194323,1556.0
Chandigarh,0.0469083155650319,44.0
Chhattisgarh,0.2020039363034532,4516.0
Delhi,0.14372039889346608,1282.0
Goa,0.14711934156378598,286.0
Gujarat,0.14808750444354968,4132.0
Haryana,0.10578610226294363,964.0
Himachal Pradesh,0.12446129419007808,572.0
Jammu & Kashmir,0.11870244923551962,854.0
Jharkhand,0.20004572473708274,1750.0
Karnataka,0.17680231672001218,4640.0
Kerala,0.14932392710170483,2032.0
Madhya Pradesh,0.1766863481839327,7900.0
Maharashtra,0.1726190476190476,4698.0
Meghalaya,0.19423868312757198,944.0
Nagaland,0.1234567901234567,120.0
Odisha,0.17489711934156377,3570.0
Puducherry,0.0915637860082304,178.0
Punjab,0.1334041085391631,1780.0
Rajasthan,0.15840649156099304,4110.0
Tamil Nadu,0.12970813778651855,4782.0
Telangana,0.17321361765806206,5556.0
Tripura,0.16666666666666663,486.0
Uttar Pradesh,0.13151577503429354,4602.0
Uttarakhand,0.1772731489426709,554.0
West Bengal,0.16422325102880656,2554.0
