state,district,rows,regime_valid,regime_class_count,Regime Coverage,Regime Majority Share,agency,train_rows,test_rows,regime_eval_note,split_ratio,gwl_min,gwl_max,gwl_range,IF__anomaly_count,IF__total_count,IF__anomaly_density,IF__mean_score,IF__min_score,Persistence__RMSE,Persistence__MAE,Persistence__MAPE,Persistence__R2,Persistence__mNSE,Persistence__NRMSE,Persistence__PBIAS,Persistence__Pearson r,Persistence__Bias,Persistence__KGE,Persistence__Alpha,Persistence__Beta,Persistence__Regime Accuracy,Persistence__Regime Acc Low,Persistence__Regime Acc Moderate,Persistence__Regime Acc High,Random Forest__RMSE,Random Forest__MAE,Random Forest__MAPE,Random Forest__R2,Random Forest__mNSE,Random Forest__NRMSE,Random Forest__PBIAS,Random Forest__Pearson r,Random Forest__Bias,Random Forest__KGE,Random Forest__Alpha,Random Forest__Beta,Random Forest__Regime Accuracy,Random Forest__Regime Acc Low,Random Forest__Regime Acc Moderate,Random Forest__Regime Acc High,XGBoost__RMSE,XGBoost__MAE,XGBoost__MAPE,XGBoost__R2,XGBoost__mNSE,XGBoost__NRMSE,XGBoost__PBIAS,XGBoost__Pearson r,XGBoost__Bias,XGBoost__KGE,XGBoost__Alpha,XGBoost__Beta,XGBoost__Regime Accuracy,XGBoost__Regime Acc Low,XGBoost__Regime Acc Moderate,XGBoost__Regime Acc High,Persistence_cm__Actual Low__Pred Low,Persistence_cm__Actual Low__Pred Moderate,Persistence_cm__Actual Low__Pred High,Persistence_cm__Actual Moderate__Pred Low,Persistence_cm__Actual Moderate__Pred Moderate,Persistence_cm__Actual Moderate__Pred High,Persistence_cm__Actual High__Pred Low,Persistence_cm__Actual High__Pred Moderate,Persistence_cm__Actual High__Pred High,Random Forest_cm__Actual Low__Pred Low,Random Forest_cm__Actual Low__Pred Moderate,Random Forest_cm__Actual Low__Pred High,Random Forest_cm__Actual Moderate__Pred Low,Random Forest_cm__Actual Moderate__Pred Moderate,Random Forest_cm__Actual Moderate__Pred High,Random Forest_cm__Actual High__Pred Low,Random Forest_cm__Actual High__Pred Moderate,Random Forest_cm__Actual High__Pred High,XGBoost_cm__Actual Low__Pred Low,XGBoost_cm__Actual Low__Pred Moderate,XGBoost_cm__Actual Low__Pred High,XGBoost_cm__Actual Moderate__Pred Low,XGBoost_cm__Actual Moderate__Pred Moderate,XGBoost_cm__Actual Moderate__Pred High,XGBoost_cm__Actual High__Pred Low,XGBoost_cm__Actual High__Pred Moderate,XGBoost_cm__Actual High__Pred High,Persistence__gwl_min,Persistence__gwl_max,Persistence__gwl_range,Persistence__Regime Coverage,Persistence__Regime Majority Share,Persistence__Regime Valid,Persistence__Regime Weight,SHAP__Random Forest__lag_1,SHAP__Random Forest__lag_3,SHAP__Random Forest__lag_7,SHAP__Random Forest__lag_14,SHAP__Random Forest__rolling_7,SHAP__Random Forest__rolling_14,SHAP__Random Forest__rolling_7_std,SHAP__Random Forest__rolling_14_std,SHAP__Random Forest__diff_1,SHAP__Random Forest__diff_7,SHAP__Random Forest__month,SHAP__Random Forest__dayofyear,SHAP__Random Forest__weekday,SHAP__Random Forest__is_monsoon,SHAP__Random Forest__top1_feature,SHAP__Random Forest__top1_value,SHAP__Random Forest__top2_feature,SHAP__Random Forest__top2_value,SHAP__Random Forest__top3_feature,SHAP__Random Forest__top3_value,SHAP__XGBoost__lag_1,SHAP__XGBoost__lag_3,SHAP__XGBoost__lag_7,SHAP__XGBoost__lag_14,SHAP__XGBoost__rolling_7,SHAP__XGBoost__rolling_14,SHAP__XGBoost__rolling_7_std,SHAP__XGBoost__rolling_14_std,SHAP__XGBoost__diff_1,SHAP__XGBoost__diff_7,SHAP__XGBoost__month,SHAP__XGBoost__dayofyear,SHAP__XGBoost__weekday,SHAP__XGBoost__is_monsoon,SHAP__XGBoost__top1_feature,SHAP__XGBoost__top1_value,SHAP__XGBoost__top2_feature,SHAP__XGBoost__top2_value,SHAP__XGBoost__top3_feature,SHAP__XGBoost__top3_value,Random Forest__gwl_min,Random Forest__gwl_max,Random Forest__gwl_range,Random Forest__Regime Coverage,Random Forest__Regime Majority Share,Random Forest__Regime Valid,Random Forest__Regime Weight,XGBoost__gwl_min,XGBoost__gwl_max,XGBoost__gwl_range,XGBoost__Regime Coverage,XGBoost__Regime Majority Share,XGBoost__Regime Valid,XGBoost__Regime Weight,low_rows,mape_outlier,r2_invalid,exclude_reasons
-,N/A,0,False,0,,,CGWB,0,0,No backend data available for this state/district.,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,"low_rows,r2_invalid"
Andaman & Nicobar,N/A,0,False,0,,,CGWB,0,0,No backend data available for this state/district.,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,"low_rows,r2_invalid"
Andhra Pradesh,NANDYAL,486,False,2,0.6666666666666666,0.9693877551020408,CGWB,388,98,Regime accuracy shown but only 2 class(es) present in test set — exclude from cross-district regime comparison.,0.8,-1.0,-0.9,0.09999999999999998,20.0,486.0,0.0411522633744856,0.08708591916295863,-0.12528642421717506,0.0245365200533109,0.0195918367346938,2.0717633258254917,-0.3033089892705798,-0.1304974765681326,0.2453652005331095,-115999999.99999996,,-0.011836734693877545,,,,0.9693877551020408,,0.0,1.0,0.0175065971883339,0.0137725512719525,1.4580536831242452,0.3365244349291191,0.2052896994963226,0.1750659718833397,-107832458.81434482,0.7816349153910344,-0.011003312123912737,0.6046304465946934,0.6706037387032368,1.0114837549323052,0.9693877551020408,,0.0,1.0,0.2130697706210156,0.0847922608073876,8.877267759364535,-97.27999629711827,-3.892723340507998,2.130697706210157,-563847640.7527927,-0.0203682393918711,-0.057535473546203336,-7.533912090583648,9.472478887723998,1.0600476720716498,0.826530612244898,,0.3333333333333333,0.8421052631578947,0,0,0,0,0,3,0,0,95,0,0,0,0,0,3,0,0,95,0,0,0,0,1,2,0,15,80,-1.0,-0.9,0.09999999999999998,0.6666666666666666,0.9693877551020408,0.0,0.0,7.957722780508804,0.0058362468781977305,0.0003495530291859808,0.0023637898329066324,0.02131847089140545,0.004493887133344959,0.005754618519908194,0.0059749910126216214,0.6758478843584914,0.04716411456827384,0.001597322367173582,0.6924393551279069,0.0007955859275595872,0.008487532622162081,lag_1,7.957722780508804,dayofyear,0.6924393551279069,diff_1,0.6758478843584914,6.080704212188721,0.12646329402923584,0.268549382686615,0.03632768243551254,0.48063433170318604,0.5468843579292297,0.06843247264623642,0.007982495240867138,0.48773056268692017,0.3881578743457794,0.004812491592019796,0.35210931301116943,0.0019074110314249992,3.2117775845108554e-05,lag_1,6.080704212188721,rolling_14,0.5468843579292297,diff_1,0.48773056268692017,-1.0,-0.9,0.09999999999999998,0.6666666666666666,0.9693877551020408,0.0,0.0,-1.0,-0.9,0.09999999999999998,0.6666666666666666,0.9693877551020408,0.0,0.0,False,False,True,r2_invalid
Bhutan,N/A,0,False,0,,,CGWB,0,0,No backend data available for this state/district.,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,"low_rows,r2_invalid"
China,N/A,0,False,0,,,CGWB,0,0,No backend data available for this state/district.,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,"low_rows,r2_invalid"
Dadra & Nagar Haveli,N/A,0,False,0,,,CGWB,0,0,No backend data available for this state/district.,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,"low_rows,r2_invalid"
Daman & Diu,N/A,0,False,0,,,CGWB,0,0,No backend data available for this state/district.,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,"low_rows,r2_invalid"
Delhi,EAST,329,False,1,0.3333333333333333,1.0,CGWB,263,66,Regime accuracy shown but only 1 class(es) present in test set — exclude from cross-district regime comparison.,0.8,43.536,43.967,0.4309999999999974,80.0,329.0,0.24316109422492402,0.050403687505305855,-0.16294196897276914,0.3561502491926716,0.3117272727272747,0.7158543326334236,-2.9687634769478484,-1.0368341473365548,0.8263346849017952,0.705763585515086,,0.30803030303030615,,,,1.0,,,1.0,30.355738677491903,30.346670261397712,69.53498285268192,-28830.704836147943,-197.2859366317145,70.43094820763825,-69.53073967537821,0.6081343960796106,-30.346670261397712,-2.7671663840245566,4.681647937732265,0.3046926032462178,1.0,,,1.0,25.60193116881385,25.530246650349014,58.50756606951904,-20507.51258555204,-165.81529887457205,59.40123241024132,-58.495278671534045,0.6839874304271553,-25.530246650349014,-9.389537166521867,11.368242321036153,0.4150472132846595,1.0,,,1.0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,66,43.536,43.967,0.4309999999999974,0.3333333333333333,1.0,0.0,0.0,2.653254616393106,0.055476863940914056,0.21038195884843297,0.09038070657590146,18.37972340534083,0.793331398867216,0.3815128989950945,0.16838232636525555,0.2044387605124706,2.8747893108137945,0.2495004373879429,0.7115514890096554,0.11035078302989246,0.0,rolling_7,18.37972340534083,diff_7,2.8747893108137945,lag_1,2.653254616393106,6.974905014038086,0.15906934440135956,1.6588611602783203,0.13766427338123322,13.987046241760254,1.7766786813735962,0.9343001842498779,0.8629722595214844,0.6422169804573059,1.6854370832443237,0.022016340866684914,0.24618025124073029,0.007351213600486517,0.0,rolling_7,13.987046241760254,lag_1,6.974905014038086,rolling_14,1.7766786813735962,43.536,43.967,0.4309999999999974,0.3333333333333333,1.0,0.0,0.0,43.536,43.967,0.4309999999999974,0.3333333333333333,1.0,0.0,0.0,False,False,True,r2_invalid
Gujarat,Ahmedabad,474,False,2,0.6666666666666666,0.9789473684210527,CGWB,379,95,Regime accuracy shown but only 2 class(es) present in test set — exclude from cross-district regime comparison.,0.8,96.200005,101.86,5.659994999999995,19.0,474.0,0.04008438818565401,0.15409610677865943,-0.10694301673738071,1.634111031782589,1.2626210842105294,1.2694034075901934,-0.258535486286134,-0.0581308418953585,0.2887124514743547,-0.7514362868117324,,-0.740642978947375,,,,0.9789473684210527,,0.0,1.0,19.35047705128129,10.520569213857565,10.540979608239615,-175.47601739861798,-7.816690057443491,3.4188152200278106,-10.632682609037737,-0.4951949084214928,-10.47995932585658,-8.754310667492067,10.638447146186648,0.8936731739096226,0.7263157894736842,,1.0,0.7204301075268817,1.3312141277959797,1.0043452927066194,1.00804158367108,0.1647852068269428,0.1583153937352623,0.2351970501380267,-1.012853274227317,0.8421413863930375,-0.9983050851099916,0.5407143315394454,0.5688139656855351,0.9898714672577268,0.9894736842105263,,1.0,0.989247311827957,0,0,0,0,0,2,0,0,93,0,0,0,0,2,0,26,0,67,0,0,0,0,2,0,0,1,92,96.200005,101.86,5.659994999999995,0.6666666666666666,0.9789473684210527,0.0,0.0,3.8552800877472566,0.24080531034262673,0.4575468210612089,0.36287515712089635,6.38473887464032,6.154182428339009,0.10240809403207096,0.2438671523360014,0.4650977922297824,1.0569561344724276,0.01573854167144363,12.329399198899342,0.00901328473468264,0.002692291167330062,dayofyear,12.329399198899342,rolling_7,6.38473887464032,rolling_14,6.154182428339009,3.533562183380127,0.8290578126907349,1.9705730676651,0.32475700974464417,12.464877128601074,4.663328647613525,0.1121097058057785,0.1730916053056717,0.7286399602890015,1.0845962762832642,0.07862893491983414,0.19913437962532043,0.009008634835481644,0.0070932903327047825,rolling_7,12.464877128601074,rolling_14,4.663328647613525,lag_1,3.533562183380127,96.200005,101.86,5.659994999999995,0.6666666666666666,0.9789473684210527,0.0,0.0,96.200005,101.86,5.659994999999995,0.6666666666666666,0.9789473684210527,0.0,0.0,False,False,True,r2_invalid
Gujarat,Patan,486,False,1,0.3333333333333333,1.0,CGWB,388,98,Regime accuracy shown but only 1 class(es) present in test set — exclude from cross-district regime comparison.,0.8,-122.22,-122.03,0.18999999999999773,32.0,486.0,0.06584362139917696,0.11294974732893605,-0.14985231481104933,0.0980316483674192,0.0916326530612278,0.0750317857288273,-6.918359643102425,-2.380608481868284,0.5159560440390549,-898000000.0000331,,-0.09163265306122786,,,,1.0,,,1.0,2.791136799629236,1.05618891319771,0.8644752270560169,-6417.962788888187,-37.96603535014549,14.690193682259313,9691389160.45085,-0.4492105957459849,0.9889172612704948,-72.48085725842682,74.46656454827587,0.9919033037467954,1.0,,,1.0,2.851382407220416,0.8216131218112238,0.6724096473050503,-6698.055009926508,-29.31181784678192,15.007275827476052,7325740295.410162,-0.4482655491367565,0.7475245199398125,-76.54523648288504,78.53171087127879,0.9938796912372636,1.0,,,1.0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,98,-122.22,-122.03,0.18999999999999773,0.3333333333333333,1.0,0.0,0.0,0.245262461536239,0.022932743707138405,0.005891979116882636,0.006541006465778551,0.1917241254147366,0.7171094788196035,0.001798847767279093,0.0009438849408954344,0.3052518486494071,0.2896051552926217,0.003244107372179278,0.000977571505182308,0.00033669570075300703,0.14253580375127364,rolling_14,0.7171094788196035,diff_1,0.3052518486494071,diff_7,0.2896051552926217,0.3549351990222931,0.04447178915143013,0.07412734627723694,0.0034426699858158827,0.45426639914512634,0.338473916053772,0.0031126062385737896,0.0005913382046855986,0.5479335188865662,0.0821787565946579,0.00025751697830855846,0.002142103388905525,5.0720282160909846e-05,0.05197003111243248,diff_1,0.5479335188865662,rolling_7,0.45426639914512634,lag_1,0.3549351990222931,-122.22,-122.03,0.18999999999999773,0.3333333333333333,1.0,0.0,0.0,-122.22,-122.03,0.18999999999999773,0.3333333333333333,1.0,0.0,0.0,False,False,True,r2_invalid
