Feature,Model,Metric,WeightedPearsonR,N_valid
train_rows,Persistence,NRMSE,0.07054382006635422,944
train_rows,Persistence,MAE,0.0011545460639790649,950
train_rows,Persistence,R2,-0.026227951055690018,950
train_rows,Random Forest,NRMSE,0.02726153552664733,944
train_rows,Random Forest,MAE,-0.04422025606572659,950
train_rows,Random Forest,R2,-0.03193811321562407,950
train_rows,XGBoost,NRMSE,-0.009806902921841077,944
train_rows,XGBoost,MAE,-0.07271042770813381,950
train_rows,XGBoost,R2,-0.006165500790510483,950
test_rows,Persistence,NRMSE,0.07190098222336537,944
test_rows,Persistence,MAE,0.0015198211668707162,950
test_rows,Persistence,R2,-0.027358168450162097,950
test_rows,Random Forest,NRMSE,0.02812639718443416,944
test_rows,Random Forest,MAE,-0.04272887225947943,950
test_rows,Random Forest,R2,-0.03221856459849216,950
test_rows,XGBoost,NRMSE,-0.00942142780382574,944
test_rows,XGBoost,MAE,-0.07183475372992043,950
test_rows,XGBoost,R2,-0.005955637155416665,950
split_ratio,Persistence,NRMSE,-5.746253908961822e-17,944
split_ratio,Persistence,MAE,3.501725988507239e-18,950
split_ratio,Persistence,R2,-1.5508939980234595e-16,950
split_ratio,Random Forest,NRMSE,8.781517718735456e-17,944
split_ratio,Random Forest,MAE,7.456800857231975e-17,950
split_ratio,Random Forest,R2,2.3157191103083522e-17,950
split_ratio,XGBoost,NRMSE,7.391032308276961e-17,944
split_ratio,XGBoost,MAE,-2.820477155054236e-17,950
split_ratio,XGBoost,R2,-2.248999677619903e-17,950
gwl_min,Persistence,NRMSE,-0.006101346140385881,944
gwl_min,Persistence,MAE,-0.9411521859895337,950
gwl_min,Persistence,R2,-0.027567003440360935,950
gwl_min,Random Forest,NRMSE,0.06327775992810375,944
gwl_min,Random Forest,MAE,-0.11601052135656023,950
gwl_min,Random Forest,R2,-0.03019118178193136,950
gwl_min,XGBoost,NRMSE,0.06643792520722076,944
gwl_min,XGBoost,MAE,-0.17518182276913608,950
gwl_min,XGBoost,R2,-0.04134556798424748,950
gwl_max,Persistence,NRMSE,-0.018917958948674974,944
gwl_max,Persistence,MAE,0.013342902138301875,950
gwl_max,Persistence,R2,0.05658682822876046,950
gwl_max,Random Forest,NRMSE,-0.0013965080017181426,944
gwl_max,Random Forest,MAE,0.11594546844258863,950
gwl_max,Random Forest,R2,0.011258711278713422,950
gwl_max,XGBoost,NRMSE,0.027272192967634282,944
gwl_max,XGBoost,MAE,0.14331066711959714,950
gwl_max,XGBoost,R2,-0.035388963343893375,950
gwl_range,Persistence,NRMSE,-0.00011658365098462666,944
gwl_range,Persistence,MAE,0.9894400389961119,950
gwl_range,Persistence,R2,0.04831165273306728,950
gwl_range,Random Forest,NRMSE,-0.06667761456331354,944
gwl_range,Random Forest,MAE,0.16127979323451824,950
gwl_range,Random Forest,R2,0.035465737566668536,950
gwl_range,XGBoost,NRMSE,-0.060134141647710686,944
gwl_range,XGBoost,MAE,0.23261151078617093,950
gwl_range,XGBoost,R2,0.031092191544099826,950
IF__anomaly_count,Persistence,NRMSE,0.14883523476173358,944
IF__anomaly_count,Persistence,MAE,-0.025507348525295626,950
IF__anomaly_count,Persistence,R2,-0.09364349804714316,950
IF__anomaly_count,Random Forest,NRMSE,0.34099939471173485,944
IF__anomaly_count,Random Forest,MAE,0.17760075240476808,950
IF__anomaly_count,Random Forest,R2,-0.21682345228681796,950
IF__anomaly_count,XGBoost,NRMSE,0.24981853960397507,944
IF__anomaly_count,XGBoost,MAE,0.12207564463313426,950
IF__anomaly_count,XGBoost,R2,-0.12523127960409125,950
IF__total_count,Persistence,NRMSE,0.07082115847528278,944
IF__total_count,Persistence,MAE,0.0012285775062169382,950
IF__total_count,Persistence,R2,-0.02645779484666072,950
IF__total_count,Random Forest,NRMSE,0.027437662841882992,944
IF__total_count,Random Forest,MAE,-0.043919675484131886,950
IF__total_count,Random Forest,R2,-0.03199602101946429,950
IF__total_count,XGBoost,NRMSE,-0.009729157044201617,944
IF__total_count,XGBoost,MAE,-0.07253554778899002,950
IF__total_count,XGBoost,R2,-0.00612320191371058,950
IF__anomaly_density,Persistence,NRMSE,0.14820494145352453,944
IF__anomaly_density,Persistence,MAE,-0.02485717336942917,950
IF__anomaly_density,Persistence,R2,-0.09799767349790064,950
IF__anomaly_density,Random Forest,NRMSE,0.3485084390879298,944
IF__anomaly_density,Random Forest,MAE,0.19118690165366167,950
IF__anomaly_density,Random Forest,R2,-0.21896815000157913,950
IF__anomaly_density,XGBoost,NRMSE,0.2603391932781162,944
IF__anomaly_density,XGBoost,MAE,0.13726812736314437,950
IF__anomaly_density,XGBoost,R2,-0.12924252532942931,950
IF__mean_score,Persistence,NRMSE,-0.07158550072017057,944
IF__mean_score,Persistence,MAE,-0.027125580072238885,950
IF__mean_score,Persistence,R2,0.10769757189968346,950
