Model,Metric,WeightedMean,WeightedStd,WeightedMedian,ValidDistricts,TotalDistricts
Persistence,RMSE,5.988151,50.484133,1.300784,959,959
Persistence,MAE,4.145077,27.7941,1.057735,959,959
Persistence,MAPE,3076452.947301,81577207.495073,14.381687,959,959
Persistence,R2,-2.449146,3.334142,-1.63689,959,959
Persistence,NSE,-2.460341,3.333744,-1.638724,956,959
Persistence,KGE,,,,0,959
Persistence,PBIAS,-4123358754.870467,272631687698.64304,4984299999.999999,959,959
Persistence,Pearson r,,,,0,959
Persistence,Alpha,,,,0,959
Persistence,Beta,,,,0,959
Persistence,NRMSE,0.481703,0.187313,0.486883,959,959
Random Forest,RMSE,1.307148,3.12794,0.877551,959,959
Random Forest,MAE,0.975301,2.182883,0.515354,959,959
Random Forest,MAPE,554887.670768,20815705.986927,1.0,959,959
Random Forest,R2,-0.289877,2.874893,0.0,959,959
Random Forest,NSE,-0.290817,2.879507,0.0,956,959
Random Forest,KGE,-46.307372,1205.351333,0.543348,956,959
Random Forest,PBIAS,817536487.021231,17929940780.413418,0.859097,959,959
Random Forest,Pearson r,556689.573814,20849435.45091,0.982977,956,959
Random Forest,Alpha,0.594505,2.511649,0.367582,956,959
Random Forest,Beta,991011194.564596,18536331666.57142,0.998478,956,959
Random Forest,NRMSE,1.148743,3.531244,0.290938,959,959
XGBoost,RMSE,1.290939,3.135319,0.831287,959,959
XGBoost,MAE,0.700019,3.395242,0.284622,959,959
XGBoost,MAPE,483884.221071,18152097.33445,0.906603,959,959
XGBoost,R2,0.120569,4.274049,0.666756,959,959
XGBoost,NSE,0.064017,4.147293,0.902845,956,959
XGBoost,KGE,0.15957,2.677944,0.0,956,959
XGBoost,PBIAS,391461403.493141,17575946711.86864,0.666667,959,959
XGBoost,Pearson r,0.79181,0.313703,0.936505,956,959
XGBoost,Alpha,6593182.037234,200339010.223364,0.698998,956,959
XGBoost,Beta,5305466.271592,161210752.332888,0.947817,956,959
XGBoost,NRMSE,0.615328,0.404102,0.785714,959,959
